HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male,Cluster
2,Ireland,0.981,1,0.943,0.961,83.9,80.7,18.8,18.6,12.9,12.4,55540.0,81401.0,4
2,Switzerland,0.968,2,0.934,0.965,85.6,81.9,16.2,16.4,12.7,13.6,57840.0,81137.0,4
4,"Hong Kong, China (SAR)",0.972,2,0.933,0.959,87.7,82.0,17.1,16.8,11.9,12.7,45961.0,82993.0,4
4,Iceland,0.969,2,0.933,0.963,84.5,81.5,20.2,18.0,12.6,13.0,46413.0,62883.0,4
6,Germany,0.972,2,0.933,0.96,83.7,78.9,16.9,17.0,13.9,14.4,45277.0,65599.0,4
7,Sweden,0.983,1,0.936,0.953,84.6,81.0,20.4,18.6,12.7,12.4,47709.0,61287.0,4
8,Australia,0.976,1,0.932,0.955,85.4,81.5,22.4,21.5,12.8,12.7,39287.0,56954.0,4
8,Netherlands,0.966,2,0.926,0.96,84.0,80.6,18.8,18.2,12.2,12.7,46815.0,68685.0,4
10,Denmark,0.983,1,0.931,0.948,82.9,78.9,19.6,18.3,12.8,12.4,49296.0,68134.0,4
11,Finland,0.99,1,0.932,0.942,84.7,79.1,20.2,18.6,13.0,12.6,40759.0,56485.0,4
11,Singapore,0.985,1,0.931,0.945,85.7,81.5,16.7,16.3,11.2,12.1,71387.0,103421.0,4
13,United Kingdom,0.97,2,0.916,0.944,83.0,79.6,18.0,17.0,13.2,13.2,33323.0,59135.0,4
14,Belgium,0.974,2,0.918,0.943,83.9,79.3,20.7,18.8,11.9,12.2,41948.0,62427.0,4
14,New Zealand,0.964,2,0.912,0.946,84.0,80.6,19.7,17.9,12.7,12.9,31233.0,50693.0,5
16,Canada,0.986,1,0.922,0.935,84.4,80.4,16.7,15.7,13.4,13.3,39459.0,57734.0,4
17,United States,0.994,1,0.922,0.928,81.4,76.3,16.9,15.7,13.5,13.4,50590.0,77338.0,4
18,Austria,0.964,2,0.903,0.937,83.9,79.2,16.4,15.8,12.2,12.9,39386.0,73528.0,4
19,Israel,0.973,2,0.904,0.929,84.5,81.3,16.8,15.6,13.1,13.0,29665.0,50819.0,5
19,Japan,0.978,1,0.906,0.927,87.7,81.5,15.2,15.3,13.1,12.6,30584.0,55869.0,4
19,Liechtenstein,0.965,..,0.73,0.76,76.8,70.9,13.8,16.0,9.1,9.25,8399.5,16951.5,3
22,Slovenia,1.001,1,0.916,0.914,84.0,78.6,18.3,16.8,12.6,12.7,33885.0,42312.0,5
23,Korea (Republic of),0.936,3,0.881,0.941,86.0,79.9,15.9,17.0,11.4,12.9,27734.0,58309.0,4
23,Luxembourg,0.976,1,0.901,0.923,84.3,80.2,14.3,14.2,12.0,12.6,58642.0,86488.0,4
25,Spain,0.986,1,0.896,0.909,86.2,80.8,18.0,17.2,10.2,10.3,32881.0,49356.0,5
26,France,0.987,1,0.895,0.907,85.5,79.7,16.0,15.3,11.3,11.7,39478.0,55375.0,4
27,Czechia,0.985,1,0.893,0.906,81.9,76.8,17.5,16.1,12.5,12.9,29480.0,47012.0,5
28,Malta,0.966,2,0.877,0.909,84.3,80.7,16.5,15.7,11.1,11.6,29368.0,49686.0,5
29,Estonia,1.017,1,0.896,0.882,82.7,74.4,16.8,15.2,13.6,12.7,27086.0,45984.0,5
29,Italy,0.968,2,0.875,0.905,85.5,81.3,16.4,15.8,10.2,10.6,31639.0,54529.0,4
31,United Arab Emirates,0.931,3,0.842,0.905,79.3,77.3,14.8,14.1,11.7,12.4,28578.0,84723.0,4
32,Greece,0.963,2,0.869,0.902,84.7,79.8,17.5,18.1,10.3,10.8,24062.0,36476.0,5
33,Cyprus,0.979,1,0.876,0.895,83.0,78.9,15.4,14.9,12.1,12.3,31881.0,44533.0,5
34,Lithuania,1.03,2,0.894,0.868,81.4,70.3,17.1,16.2,13.1,13.0,30987.0,41389.0,5
35,Poland,1.007,1,0.88,0.874,82.6,74.8,16.9,15.3,12.5,12.4,24827.0,38850.0,5
36,Andorra,0.965,..,0.73,0.76,76.8,70.9,13.85,13.3,10.4,10.6,8399.5,16951.5,3
37,Latvia,1.036,2,0.879,0.849,80.0,70.2,16.8,15.5,13.4,12.6,25758.0,35584.0,5
38,Portugal,0.988,1,0.858,0.868,84.9,79.0,16.5,16.6,9.4,9.1,28937.0,39571.0,5
39,Slovakia,0.992,1,0.855,0.862,81.0,74.0,15.0,14.0,12.6,12.8,24618.0,40014.0,5
40,Hungary,0.981,1,0.844,0.861,80.3,73.2,15.5,14.9,11.7,12.2,23170.0,40316.0,5
40,Saudi Arabia,0.896,5,0.791,0.883,76.8,73.9,16.0,16.2,9.8,10.5,16512.0,70181.0,4
42,Bahrain,0.922,4,0.806,0.874,78.4,76.4,16.7,16.1,9.1,9.7,19059.0,55565.0,5
43,Chile,0.963,2,0.833,0.865,82.4,77.8,16.7,16.2,10.5,10.7,16398.0,30322.0,3
43,Croatia,0.99,1,0.848,0.857,81.6,75.3,16.0,14.5,11.1,12.2,23775.0,32689.0,5
45,Qatar,1.03,2,0.866,0.841,82.0,79.1,14.1,11.3,11.3,9.4,45338.0,107833.0,4
46,Argentina,0.993,1,0.835,0.84,80.0,73.2,18.9,16.4,11.1,10.7,14872.0,27826.0,3
47,Brunei Darussalam,0.981,1,0.83,0.846,77.1,74.7,14.8,13.9,9.1,9.2,54386.0,72835.0,4
48,Montenegro,0.966,2,0.814,0.843,79.3,74.4,15.4,14.7,10.9,12.3,17518.0,25368.0,3
49,Romania,0.991,1,0.824,0.831,79.5,72.6,14.7,13.9,10.8,11.4,24433.0,34846.0,5
50,Palau,0.965,..,0.73,0.76,76.8,70.9,16.3,15.3,9.1,9.25,8399.5,16951.5,3
51,Kazakhstan,0.98,1,0.807,0.823,77.7,69.2,15.8,15.1,10.9,11.9,16791.0,29296.0,3
52,Russian Federation,1.007,1,0.823,0.817,77.8,67.1,15.3,14.8,11.9,12.1,19694.0,33640.0,5
53,Belarus,1.007,1,0.824,0.819,79.6,69.7,15.7,15.2,12.2,12.4,14911.0,22721.0,3
54,Turkey,0.924,4,0.784,0.848,80.6,74.7,16.0,17.1,7.3,9.0,17854.0,37807.0,5
55,Uruguay,1.016,1,0.814,0.801,81.5,74.1,17.1,15.1,9.2,8.6,15445.0,25008.0,3
56,Bulgaria,0.995,1,0.813,0.817,78.7,71.6,14.6,14.2,11.5,11.2,18453.0,28483.0,3
57,Panama,1.019,1,0.826,0.811,81.8,75.4,13.5,12.4,11.2,10.0,24050.0,35049.0,5
58,Bahamas,0.965,..,0.73,0.76,76.1,71.7,13.85,13.3,11.7,11.4,27560.0,40295.0,5
58,Barbados,1.008,1,0.816,0.809,80.5,77.8,16.8,14.0,11.0,10.3,12656.0,17370.0,3
60,Oman,0.936,3,0.768,0.821,80.3,76.1,15.0,13.7,10.6,9.4,7959.0,35201.0,3
61,Georgia,0.98,1,0.8,0.817,78.1,69.3,15.5,15.0,13.2,13.1,9475.0,19864.0,3
62,Costa Rica,0.981,1,0.802,0.818,82.9,77.7,16.4,15.4,8.9,8.6,13476.0,23501.0,3
62,Malaysia,0.972,2,0.797,0.821,78.3,74.2,14.0,13.3,10.3,10.5,20825.0,33877.0,5
64,Kuwait,0.983,1,0.793,0.807,76.6,74.8,15.2,13.2,8.0,6.8,31698.0,75840.0,3
64,Serbia,0.977,1,0.797,0.815,78.6,73.4,15.3,14.2,10.8,11.6,13990.0,20525.0,3
66,Mauritius,0.976,1,0.791,0.811,78.5,71.7,15.7,14.4,9.4,9.7,15870.0,34898.0,5
67,Seychelles,0.965,..,0.73,0.76,77.4,69.9,15.3,13.1,9.9,10.1,8399.5,16951.5,3
67,Trinidad and Tobago,1.003,1,0.796,0.793,76.2,70.9,14.0,12.0,11.1,10.9,20482.0,32121.0,5
69,Albania,0.967,2,0.78,0.807,80.2,77.0,15.5,14.0,9.7,10.6,11004.0,16885.0,3
70,Cuba,0.944,3,0.754,0.799,80.8,76.8,14.7,13.9,11.2,11.8,5714.0,11567.0,3
70,Iran (Islamic Republic of),0.866,5,0.709,0.819,77.9,75.6,14.6,15.0,10.3,10.4,4084.0,20637.0,3
72,Sri Lanka,0.955,2,0.759,0.794,80.3,73.6,14.5,13.8,10.6,10.6,7433.0,18423.0,3
73,Bosnia and Herzegovina,0.937,3,0.753,0.803,79.9,74.9,14.1,13.5,8.9,10.9,10567.0,19357.0,3
74,Grenada,0.965,..,0.73,0.76,75.0,70.1,17.0,16.2,9.1,9.25,8399.5,16951.5,3
74,Mexico,0.96,2,0.76,0.792,77.9,72.2,15.0,14.6,8.6,8.9,12765.0,25838.0,3
74,Saint Kitts and Nevis,0.965,..,0.73,0.76,76.8,70.9,14.0,13.7,9.1,9.25,8399.5,16951.5,3
74,Ukraine,1.0,1,0.776,0.776,76.8,67.1,15.3,14.9,11.3,11.3,10088.0,16840.0,3
78,Antigua and Barbuda,0.965,..,0.73,0.76,78.1,75.9,13.2,12.1,9.1,9.25,8399.5,16951.5,3
79,Peru,0.957,2,0.759,0.793,79.5,74.1,14.9,15.1,9.1,10.3,9889.0,14647.0,3
79,Thailand,1.008,1,0.782,0.776,80.9,73.5,15.8,14.7,7.7,8.2,15924.0,19737.0,3
81,Armenia,0.982,1,0.766,0.78,78.5,71.3,13.6,12.6,11.3,11.3,9737.0,18574.0,3
82,North Macedonia,0.952,2,0.753,0.791,77.8,73.8,13.8,13.4,9.4,10.2,11698.0,20027.0,3
83,Colombia,0.989,1,0.761,0.77,80.0,74.5,14.7,14.1,8.6,8.3,11594.0,17018.0,3
84,Brazil,0.993,1,0.76,0.765,79.6,72.2,15.8,15.1,8.2,7.7,10535.0,18120.0,3
85,China,0.957,2,0.744,0.777,79.2,74.8,14.0,14.0,7.7,8.4,12633.0,19308.0,3
86,Ecuador,0.967,2,0.743,0.768,79.8,74.3,14.9,14.3,8.7,8.9,7874.0,14211.0,3
86,Saint Lucia,0.985,1,0.752,0.763,77.6,74.9,14.7,13.3,8.8,8.2,11476.0,17851.0,3
88,Azerbaijan,0.943,3,0.73,0.774,75.5,70.5,13.0,12.8,10.2,10.9,8919.0,18664.0,3
88,Dominican Republic,0.999,1,0.759,0.76,77.4,71.0,15.0,13.5,8.8,8.3,12449.0,22740.0,3
90,Moldova (Republic of),1.014,1,0.754,0.744,76.2,67.6,11.8,11.3,11.8,11.6,11994.0,15477.0,3
91,Algeria,0.858,5,0.671,0.782,78.1,75.7,14.8,14.4,7.7,8.3,3296.0,18891.0,3
92,Lebanon,0.892,5,0.691,0.774,80.9,77.1,11.1,11.5,8.5,8.9,6078.0,23124.0,3
93,Fiji,0.965,..,0.73,0.76,69.3,65.7,13.85,13.3,11.0,10.8,8317.0,17577.0,3
94,Dominica,0.965,..,0.73,0.76,76.8,70.9,13.85,13.3,9.1,9.25,8399.5,16951.5,3
95,Maldives,0.923,4,0.698,0.756,80.8,77.5,12.3,12.1,7.0,7.0,7908.0,22931.0,3
95,Tunisia,0.9,4,0.689,0.766,78.7,74.7,15.8,14.3,6.5,8.0,4587.0,16341.0,3
97,Saint Vincent and the Grenadines,0.965,2,0.724,0.75,75.1,70.3,14.2,14.0,8.9,8.7,8880.0,15776.0,3
97,Suriname,0.985,1,0.729,0.74,75.1,68.5,13.8,12.5,9.4,9.1,9504.0,19093.0,3
99,Mongolia,1.023,1,0.744,0.727,74.1,65.8,14.8,13.7,10.7,9.7,8756.0,12981.0,3
100,Botswana,0.998,1,0.734,0.735,72.4,66.5,13.0,12.7,9.5,9.7,15276.0,17677.0,3
101,Jamaica,0.994,1,0.73,0.735,76.1,72.9,13.9,12.4,10.2,9.3,7501.0,11163.0,3
102,Jordan,0.875,5,0.664,0.758,76.3,72.8,11.6,11.1,10.3,10.7,3324.0,16234.0,3
103,Paraguay,0.966,2,0.714,0.739,76.4,72.3,13.0,12.4,8.5,8.5,8855.0,15483.0,3
104,Tonga,0.95,3,0.702,0.739,72.9,69.0,14.6,14.0,11.3,11.2,4311.0,8416.0,3
105,Libya,0.976,1,0.713,0.731,76.0,70.1,13.1,12.6,8.5,7.2,9249.0,21999.0,3
106,Uzbekistan,0.939,3,0.695,0.74,73.8,69.6,11.9,12.2,11.6,12.0,5064.0,9230.0,3
107,Bolivia (Plurinational State of),0.945,3,0.696,0.737,74.5,68.7,14.2,14.2,8.3,9.8,6481.0,10610.0,3
107,Indonesia,0.94,3,0.694,0.738,74.0,69.6,13.7,13.5,7.8,8.6,7902.0,14966.0,3
107,Philippines,1.007,1,0.72,0.715,75.5,67.3,13.5,12.8,9.6,9.2,7843.0,11694.0,3
110,Belize,0.976,1,0.706,0.723,77.8,71.7,13.4,12.8,9.9,9.9,4896.0,7881.0,3
111,Samoa,0.965,..,0.73,0.76,75.5,71.3,13.2,12.3,9.1,9.25,4054.0,8410.0,3
111,Turkmenistan,0.965,..,0.73,0.76,71.7,64.7,10.9,11.5,9.1,9.25,10493.0,19461.0,3
113,Venezuela (Bolivarian Republic of),1.009,1,0.712,0.706,76.0,68.3,13.8,11.8,10.6,10.0,5173.0,8973.0,3
114,South Africa,0.986,1,0.702,0.712,67.7,60.7,14.2,13.4,10.0,10.3,9248.0,15095.0,3
115,"Palestine, State of",0.87,5,0.638,0.733,75.8,72.4,14.3,12.6,8.9,9.4,2045.0,10666.0,3
116,Egypt,0.882,5,0.652,0.739,74.4,69.7,13.3,13.3,6.8,8.1,4753.0,18039.0,3
117,Marshall Islands,0.965,..,0.73,0.76,76.8,70.9,13.85,13.3,10.7,11.1,8399.5,16951.5,3
117,Viet Nam,0.997,1,0.703,0.705,79.5,71.3,12.9,12.5,8.0,8.6,6644.0,8224.0,3
119,Gabon,0.916,4,0.67,0.731,68.7,64.4,12.6,13.4,7.8,9.6,9925.0,17791.0,3
120,Kyrgyzstan,0.957,2,0.677,0.707,75.6,67.4,13.2,12.7,11.2,11.0,2971.0,6798.0,3
121,Morocco,0.835,5,0.612,0.734,77.9,75.4,13.3,14.1,4.7,6.6,2975.0,11831.0,2
122,Guyana,0.961,2,0.662,0.688,73.1,66.9,11.6,11.3,8.9,8.0,5359.0,13512.0,2
123,Iraq,0.774,5,0.566,0.731,72.7,68.6,10.4,12.2,6.0,8.6,2427.0,18975.0,2
124,El Salvador,0.975,2,0.662,0.679,77.8,68.5,11.5,11.7,6.6,7.3,6471.0,10501.0,2
125,Tajikistan,0.823,5,0.586,0.712,73.4,68.9,10.7,12.6,10.2,11.3,1440.0,6427.0,2
126,Cabo Verde,0.974,2,0.655,0.672,76.2,69.5,13.0,12.4,6.0,6.6,5453.0,8573.0,2
127,Guatemala,0.941,3,0.639,0.679,77.2,71.4,10.6,10.9,6.6,6.7,5451.0,11629.0,2
128,Nicaragua,1.012,1,0.663,0.655,78.0,70.9,12.6,12.1,7.2,6.6,4656.0,5930.0,2
129,Bhutan,0.921,4,0.626,0.679,72.2,71.4,13.5,12.8,3.3,4.8,8117.0,13069.0,2
130,Namibia,1.007,1,0.648,0.643,66.5,60.7,12.7,12.5,7.3,6.7,8482.0,10287.0,2
131,India,0.82,5,0.573,0.699,71.0,68.5,12.6,11.7,5.4,8.7,2331.0,10702.0,2
132,Honduras,0.978,1,0.625,0.639,77.6,73.0,10.5,9.6,6.6,6.5,4173.0,6446.0,2
133,Bangladesh,0.904,4,0.596,0.66,74.6,70.9,12.0,11.2,5.7,6.9,2873.0,7031.0,2
134,Kiribati,0.965,..,0.73,0.76,72.3,64.2,12.2,11.4,9.1,9.25,8399.5,16951.5,3
135,Sao Tome and Principe,0.906,4,0.59,0.651,72.8,68.0,12.8,12.6,5.8,7.1,2462.0,5439.0,2
136,Micronesia (Federated States of),0.965,..,0.73,0.76,69.6,66.2,13.85,13.3,9.1,9.25,8399.5,16951.5,3
137,Lao People's Democratic Republic,0.927,3,0.589,0.636,69.7,66.1,10.7,11.3,4.9,5.7,5801.0,9013.0,2
138,Eswatini (Kingdom of),0.996,1,0.609,0.611,64.8,56.0,11.8,11.9,6.3,7.2,7011.0,8863.0,2
138,Ghana,0.911,4,0.582,0.639,65.2,63.0,11.4,11.6,6.6,8.1,4073.0,6432.0,2
140,Vanuatu,0.965,..,0.73,0.76,72.2,69.0,11.5,12.0,9.1,9.25,2406.0,3784.0,2
141,Timor-Leste,0.942,3,0.587,0.623,71.6,67.5,12.2,13.0,3.8,5.6,4486.0,4395.0,2
142,Nepal,0.933,3,0.581,0.623,72.2,69.3,13.0,12.6,4.3,5.8,2910.0,4108.0,2
143,Kenya,0.937,3,0.581,0.62,69.0,64.3,11.0,11.7,6.0,7.2,3666.0,4829.0,2
144,Cambodia,0.922,4,0.57,0.618,71.9,67.5,11.0,11.9,4.2,5.8,3697.0,4822.0,2
145,Equatorial Guinea,0.965,..,0.73,0.76,59.9,57.7,13.85,13.3,4.2,7.6,9949.0,17135.0,2
146,Zambia,0.958,2,0.569,0.593,66.9,60.8,10.7,11.6,6.3,8.2,3380.0,3270.0,2
147,Myanmar,0.954,2,0.564,0.592,70.1,64.0,10.9,10.5,5.0,4.9,3174.0,6881.0,2
148,Angola,0.903,4,0.552,0.611,64.0,58.4,11.0,12.7,4.0,6.4,5205.0,7022.0,2
149,Congo,0.929,3,0.555,0.598,66.0,63.1,11.6,11.9,6.1,7.5,2500.0,3259.0,2
150,Zimbabwe,0.931,3,0.55,0.59,62.9,59.8,10.5,11.5,8.1,8.9,2375.0,2985.0,2
151,Solomon Islands,0.965,..,0.73,0.76,74.9,71.3,9.7,10.7,9.1,9.25,1974.0,2523.0,2
151,Syrian Arab Republic,0.829,5,0.492,0.593,78.1,67.9,8.9,8.8,4.6,5.6,989.0,6225.0,1
153,Cameroon,0.864,5,0.521,0.603,60.6,58.0,11.3,12.9,4.7,8.0,2973.0,4189.0,1
154,Pakistan,0.745,5,0.456,0.612,68.3,66.3,7.6,8.9,3.8,6.3,1393.0,8412.0,1
155,Papua New Guinea,0.965,..,0.73,0.76,65.8,63.3,13.85,13.3,4.0,5.3,3767.0,4814.0,2
156,Comoros,0.891,5,0.519,0.583,66.1,62.6,11.1,11.4,4.0,6.0,2300.0,3885.0,2
157,Mauritania,0.864,5,0.5,0.579,66.5,63.3,8.7,8.5,3.8,5.6,2782.0,7468.0,1
158,Benin,0.855,5,0.502,0.587,63.3,60.2,11.4,13.8,2.4,5.5,2837.0,3673.0,1
159,Uganda,0.863,5,0.503,0.582,65.6,61.0,10.6,12.2,4.9,7.6,1591.0,2671.0,1
160,Rwanda,0.945,3,0.528,0.558,71.1,66.8,11.2,11.2,4.0,4.9,1876.0,2444.0,2
161,Nigeria,0.881,5,0.504,0.572,55.6,53.8,9.4,10.6,5.7,7.7,4107.0,5692.0,1
162,C̫te d'Ivoire,0.811,5,0.476,0.586,59.1,56.6,9.0,10.9,4.2,6.4,2561.0,7531.0,1
163,Tanzania (United Republic of),0.948,3,0.514,0.542,67.2,63.6,8.2,8.0,5.8,6.4,2222.0,2978.0,2
164,Madagascar,0.952,2,0.513,0.539,68.7,65.4,10.2,10.2,6.4,5.8,1273.0,1921.0,2
165,Lesotho,1.014,1,0.529,0.522,57.6,51.2,11.7,10.9,7.2,5.8,2471.0,3849.0,2
166,Djibouti,0.965,..,0.73,0.76,69.4,65.1,6.7,6.9,9.1,9.25,4151.0,7077.0,2
167,Togo,0.822,5,0.464,0.565,61.9,60.2,11.5,13.8,3.5,6.7,1220.0,1989.0,1
168,Senegal,0.87,5,0.475,0.546,69.9,65.8,8.9,8.2,1.9,4.6,2271.0,4401.0,1
169,Afghanistan,0.659,5,0.391,0.593,66.4,63.4,7.7,12.5,1.9,6.0,819.0,3566.0,1
170,Haiti,0.875,5,0.473,0.54,66.2,61.8,9.0,10.4,4.3,6.6,1410.0,2016.0,1
170,Sudan,0.86,5,0.466,0.542,67.2,63.5,7.7,8.3,3.3,4.2,1981.0,5679.0,1
172,Gambia,0.846,5,0.448,0.53,63.5,60.7,10.0,9.8,3.3,4.6,1145.0,3207.0,1
173,Ethiopia,0.837,5,0.442,0.527,68.5,64.7,8.3,9.3,1.7,4.3,1642.0,2771.0,1
174,Malawi,0.986,1,0.493,0.5,67.4,61.1,11.2,11.3,6.9,5.2,838.0,1237.0,2
175,Congo (Democratic Republic of the),0.845,5,0.439,0.52,62.2,59.1,8.6,10.8,5.3,8.4,907.0,1218.0,1
175,Guinea-Bissau,0.965,..,0.73,0.76,60.2,56.3,13.85,13.3,9.1,9.25,1647.0,2361.0,2
175,Liberia,0.89,5,0.453,0.509,65.5,62.7,9.2,10.4,3.5,6.2,1242.0,1275.0,1
178,Guinea,0.817,5,0.428,0.524,62.1,60.9,8.0,10.8,1.5,4.2,2266.0,2554.0,1
179,Yemen,0.488,5,0.27,0.553,67.8,64.4,7.4,10.2,2.9,5.1,186.0,2980.0,1
180,Eritrea,0.965,..,0.73,0.76,68.6,64.2,4.6,5.4,9.1,9.25,2275.0,3309.0,2
181,Mozambique,0.912,4,0.435,0.476,63.7,57.8,9.5,10.5,2.7,4.5,1131.0,1377.0,1
182,Burkina Faso,0.867,5,0.418,0.482,62.3,60.7,9.1,9.4,1.1,2.3,1541.0,2727.0,1
182,Sierra Leone,0.884,5,0.423,0.479,55.5,53.9,9.7,10.6,2.9,4.5,1470.0,1867.0,1
184,Mali,0.821,5,0.388,0.473,60.1,58.5,6.8,8.1,1.7,3.0,1516.0,3019.0,1
185,Burundi,0.999,1,0.432,0.432,63.4,59.8,11.0,11.1,2.6,4.1,866.0,640.0,1
185,South Sudan,0.842,5,0.384,0.456,59.4,56.4,3.5,5.9,3.9,5.2,1759.0,2247.0,1
187,Chad,0.764,5,0.342,0.448,55.7,52.8,5.9,8.8,1.3,3.8,1244.0,1868.0,1
188,Central African Republic,0.801,5,0.351,0.438,55.5,51.1,6.2,8.9,3.0,5.6,792.0,1197.0,1
189,Niger,0.724,5,0.321,0.443,63.6,61.3,5.7,7.2,1.4,2.8,536.0,1859.0,1
